state,date,adult_icu_bed_utilization,prob_breach_7d
VI,2022-09-17,0.916666666666667,0.2882766
WY,2022-09-17,0.380952380952381,0.16389813
AK,2022-09-15,0.834355828220859,0.08028567
AS,2022-09-15,0.714285714285714,0.38949984
VI,2022-09-15,0.583333333333333,0.37643167
AS,2022-09-14,0.714285714285714,0.33948776
AK,2022-09-12,0.864197530864198,0.18000266
AS,2022-09-12,0.428571428571429,0.27178288
VI,2022-09-12,0.333333333333333,0.42137238
AS,2022-09-11,0.428571428571429,0.2769509
VI,2022-09-10,0.166666666666667,0.3847257
AS,2022-09-09,0.428571428571429,0.26446256
VI,2022-09-09,0.25,0.36891124
AS,2022-09-08,0.571428571428571,0.44730172
VI,2022-09-08,0.25,0.37667826
AS,2022-09-07,0.428571428571429,0.3162041
VI,2022-09-07,0.25,0.41008723
AS,2022-09-06,0.571428571428571,0.40211737
WY,2022-09-05,0.365853658536585,0.18107572
AS,2022-09-04,0.857142857142857,0.3034158
VI,2022-09-04,0.25,0.35851774
AS,2022-09-03,0.571428571428571,0.4594841
VI,2022-09-02,0.3,0.39830706
AS,2022-09-01,0.571428571428571,0.4594841
VI,2022-09-01,0.3,0.30510694
WY,2022-09-01,0.4,0.24281538
WY,2022-08-31,0.4,0.26358142
AS,2022-08-30,0.714285714285714,0.0531893
VI,2022-08-30,0.3,0.25923294
AK,2022-08-29,0.796296296296296,0.39308786
VI,2022-08-28,0.35,0.092903
AS,2022-08-27,0.714285714285714,0.1479328
VI,2022-08-27,0.25,0.19238095
AS,2022-08-26,0.714285714285714,0.54625785
VI,2022-08-25,0.25,0.22125474
AS,2022-08-24,0.714285714285714,0.08762782
VI,2022-08-24,0.25,0.2075518
AS,2022-08-23,0.714285714285714,0.07498358
WV,2022-08-23,0.740802675585284,0.2406581
VI,2022-08-22,0.25,0.044548545
AS,2022-08-21,0.714285714285714,0.21295708
VI,2022-08-20,0.35,0.097679056
AS,2022-08-19,0.571428571428571,0.09042435
VI,2022-08-19,0.3,0.066220134
AS,2022-08-18,0.714285714285714,0.2860152
VI,2022-08-17,0.3,0.25842342
AS,2022-08-16,0.285714285714286,0.16599296
VI,2022-08-16,0.3,0.15371057
AS,2022-08-15,0.142857142857143,0.11143721
WY,2022-08-15,0.36,0.04620473
AS,2022-08-14,0.428571428571429,0.24652012
VI,2022-08-14,0.4,0.089607105
AS,2022-08-13,0.428571428571429,0.20367575
VI,2022-08-12,0.5,0.037616454
AS,2022-08-11,0.714285714285714,0.3953361
VI,2022-08-11,0.6,0.08725276
AS,2022-08-10,0.571428571428571,0.32326877
VI,2022-08-09,0.4,0.17189021
AS,2022-08-08,0.142857142857143,0.05420859
VI,2022-08-08,0.5,0.042347286
AS,2022-08-07,0.142857142857143,0.01801699
VI,2022-08-07,0.45,0.16803533
AS,2022-08-06,0.285714285714286,0.05394335
VI,2022-08-06,0.4,0.117285945
AS,2022-08-05,0.0,0.014493353
VI,2022-08-04,0.35,0.09593031
AS,2022-08-03,0.0,0.26625922
VI,2022-08-03,0.25,0.065971285
AS,2022-08-02,0.285714285714286,0.19840115
WY,2022-08-01,0.312,0.011373193
AS,2022-07-31,0.428571428571429,0.13921356
VI,2022-07-31,0.35,0.053208914
AS,2022-07-30,0.285714285714286,0.18292911
VI,2022-07-30,0.35,0.078254685
VI,2022-07-29,0.4,0.22825827
AS,2022-07-28,0.428571428571429,0.0647122
VI,2022-07-27,0.35,0.19527704
VI,2022-07-26,0.35,0.16062362
AS,2022-07-25,0.571428571428571,0.23755465
VI,2022-07-24,0.2,0.009845342
AS,2022-07-23,0.571428571428571,0.06424155
VI,2022-07-23,0.35,0.026953416
AS,2022-07-22,0.571428571428571,0.19754136
VI,2022-07-22,0.1,0.031953502
AS,2022-07-21,0.714285714285714,0.27417696
VI,2022-07-21,0.05,0.08246936
AS,2022-07-20,0.428571428571429,0.22039953
VI,2022-07-19,0.35,0.025537858
AS,2022-07-18,0.285714285714286,0.23386191
VI,2022-07-18,0.45,0.21791165
AS,2022-07-17,0.428571428571429,0.2054284
VI,2022-07-16,0.25,0.15257272
VI,2022-07-15,0.25,0.06785508
VI,2022-07-14,0.15,0.04970125
VI,2022-07-13,0.2,0.094997264
AS,2022-07-12,0.142857142857143,0.09563849
WY,2022-07-11,0.365217391304348,0.14307044
AS,2022-07-10,0.285714285714286,0.11834407
VI,2022-07-10,0.15,0.059256874
AS,2022-07-09,0.428571428571429,0.14387102
VI,2022-07-08,0.25,0.16264008
AS,2022-07-07,0.571428571428571,0.10710995
VI,2022-07-07,0.25,0.08275187
AS,2022-07-06,0.571428571428571,0.2026982
VI,2022-07-06,0.25,0.18063807
AS,2022-07-05,0.714285714285714,0.038492516
VI,2022-07-05,0.25,0.099673115
AS,2022-07-04,0.714285714285714,0.026652625
VI,2022-07-03,0.25,0.1679601
VI,2022-07-02,0.45,0.023883805
AS,2022-07-01,0.285714285714286,0.12585703
NH,2023-06-10,0.724576271186441,0.05789381
AS,2023-06-09,0.571428571428571,0.6348868
MT,2023-06-09,0.545893719806763,0.048989896
AS,2023-06-08,0.571428571428571,0.8221593
AS,2023-06-07,0.714285714285714,0.22948134
NH,2023-06-06,0.791304347826087,0.017894771
WV,2023-06-06,0.755711775043937,0.013238627
AS,2023-06-05,0.428571428571429,0.1839225
ND,2023-06-04,0.502369668246446,0.024558313
NH,2023-06-03,0.741228070175439,0.024665717
AS,2023-06-02,0.571428571428571,0.123167165
MS,2023-06-02,0.793510324483776,0.020497408
VI,2023-06-02,0.571428571428571,0.15587752
VI,2023-06-01,0.642857142857143,0.24806759
AS,2023-05-30,0.428571428571429,0.512404
CT,2023-05-29,0.627720504009164,0.017080074
AS,2023-05-26,0.428571428571429,0.3563115
NH,2023-05-26,0.747826086956522,0.03227649
VI,2023-05-26,0.714285714285714,0.14664781
AS,2023-05-23,0.714285714285714,0.105812974
AZ,2023-05-22,0.67125860989355,0.30157775
RI,2023-05-22,0.80952380952381,0.028382517
ND,2023-05-20,0.516279069767442,0.039086208
VT,2023-05-20,0.597938144329897,0.22300586
AS,2023-05-19,0.571428571428571,0.526746
VI,2023-05-17,0.571428571428571,0.23191278
AS,2023-05-16,0.428571428571429,0.26474315
VI,2023-05-16,0.571428571428571,0.37329635
NH,2023-05-14,0.719298245614035,0.075290345
WY,2023-05-14,0.330188679245283,0.021276252
AS,2023-05-13,0.428571428571429,0.30175725
RI,2023-05-13,0.819444444444444,0.03077308
AS,2023-05-12,0.714285714285714,0.1119012
VI,2023-05-11,0.571428571428571,0.14870812
AS,2023-05-10,0.428571428571429,0.46227977
VT,2023-05-10,0.670103092783505,0.3756913
AK,2023-05-09,0.743589743589744,0.06404825
AS,2023-05-08,0.571428571428571,0.42571437
VI,2023-05-07,0.571428571428571,0.22142245
WV,2023-05-07,0.776450511945392,0.018060206
AS,2023-05-05,0.428571428571429,0.4773999
VI,2023-05-04,0.5,0.124066226
AK,2023-05-03,0.875,0.06625408
VI,2023-05-03,0.5,0.23189119
AS,2023-05-02,0.714285714285714,0.6754735
NH,2023-04-30,0.707818930041152,0.033890508
AS,2023-04-29,0.285714285714286,0.1898127
VI,2023-04-29,0.5,0.034923565
SD,2023-04-28,0.542222222222222,0.043756858
WY,2023-04-28,0.388888888888889,0.019885974
AS,2023-04-25,0.571428571428571,0.5255357
VI,2023-04-25,0.714285714285714,0.090235636
WY,2023-04-25,0.403669724770642,0.096329294
AS,2023-04-23,0.285714285714286,0.04417493
WY,2023-04-22,0.36036036036036,0.049579352
VI,2023-04-20,0.357142857142857,0.1379129
AS,2023-04-19,0.285714285714286,0.23769927
VT,2023-04-19,0.75,0.2541807
AS,2023-04-18,0.428571428571429,0.61240584
AS,2023-04-17,0.571428571428571,0.059881713
VI,2023-04-17,0.571428571428571,0.19481133
WY,2023-04-16,0.423423423423423,0.037739806
VI,2023-04-14,0.5,0.1566741
AS,2023-04-13,0.714285714285714,0.33549
UT,2023-04-13,0.695145631067961,0.062368136
AS,2023-04-12,0.571428571428571,0.5090641
AS,2023-04-11,0.285714285714286,0.19910643
VI,2023-04-11,0.571428571428571,0.13963306
DC,2023-04-10,0.779220779220779,0.19842064
WV,2023-04-10,0.740103270223752,0.009544828
VI,2023-04-09,0.5,0.20744632
AS,2023-04-08,0.285714285714286,0.1496221
SD,2023-04-08,0.515695067264574,0.012223639
AS,2023-04-07,0.571428571428571,0.25092942
AS,2023-04-05,0.428571428571429,0.49717247
RI,2023-04-05,0.815068493150685,0.022967342
WY,2023-04-05,0.37037037037037,0.013968794
WY,2023-04-04,0.336206896551724,0.03818971
AS,2023-04-03,0.285714285714286,0.25741336
VI,2023-04-02,0.714285714285714,0.07219875
AS,2023-03-30,0.285714285714286,0.25862265
VI,2023-03-30,0.642857142857143,0.054830823
AR,2023-03-29,0.828817733990148,0.06320448
VI,2023-03-29,0.857142857142857,0.20139079
AS,2023-03-27,0.285714285714286,0.23876019
AS,2023-03-25,0.285714285714286,0.3255322
RI,2023-03-25,0.776223776223776,0.054814417
AS,2023-03-24,0.428571428571429,0.14984077
VI,2023-03-24,0.714285714285714,0.078025326
AS,2023-03-22,0.714285714285714,0.64664114
VI,2023-03-20,0.714285714285714,0.07089471
AS,2023-03-19,0.714285714285714,0.1430246
AS,2023-03-17,0.571428571428571,0.25318405
VI,2023-03-17,0.571428571428571,0.4150996
AS,2023-03-16,0.571428571428571,0.13854998
VI,2023-03-16,0.428571428571429,0.18170807
VI,2023-03-15,0.5,0.12496937
AS,2023-03-14,0.714285714285714,0.42137548
WY,2023-03-13,0.342105263157895,0.03989277
AS,2023-03-12,0.142857142857143,0.24611421
VI,2023-03-12,0.571428571428571,0.09152971
AS,2023-03-11,0.285714285714286,0.573371
AS,2023-03-09,0.428571428571429,0.21556774
VI,2023-03-09,0.642857142857143,0.06823393
AS,2023-03-08,0.571428571428571,0.2845653
VI,2023-03-08,0.714285714285714,0.06857014
AS,2023-03-06,0.285714285714286,0.27584004
VI,2023-03-05,0.714285714285714,0.1304465
VI,2023-03-04,0.785714285714286,0.14115158
AS,2023-03-03,0.428571428571429,0.59490246
VI,2023-03-02,0.928571428571429,0.10297053
VI,2023-03-01,1.071428571428571,0.34611252
AS,2023-02-28,0.714285714285714,0.09736808
VI,2023-02-28,1.0,0.16845474
AS,2023-02-26,0.428571428571429,0.05954132
VI,2023-02-25,0.928571428571429,0.14620574
VI,2023-02-24,0.928571428571429,0.059651423
AS,2023-02-23,0.571428571428571,0.08059245
AS,2023-02-21,0.428571428571429,0.13918895
VI,2023-02-21,0.642857142857143,0.09220997
AS,2023-02-20,0.571428571428571,0.11455231
AK,2023-02-19,0.701754385964912,0.061586693
AS,2023-02-18,0.428571428571429,0.17256951
VI,2023-02-17,0.714285714285714,0.10938016
AS,2023-02-15,0.714285714285714,0.42192888
AS,2023-02-13,0.714285714285714,0.4623817
VI,2023-02-13,0.428571428571429,0.24866782
AS,2023-02-12,0.714285714285714,0.2049671
WY,2023-02-12,0.421052631578947,0.08650012
AK,2023-02-10,0.8046875,0.0577638
AS,2023-02-07,0.571428571428571,0.66786337
AS,2023-02-05,0.857142857142857,0.45398247
VI,2023-02-05,0.5,0.09631058
AS,2023-02-04,0.571428571428571,0.5975171
AS,2023-02-02,0.571428571428571,0.07888421
AS,2023-01-30,0.428571428571429,0.10899892
